@relation Training

@attribute Label {Malware,Goodware}
@attribute Protocol numeric
@attribute 'Address A' numeric
@attribute 'Port A' numeric
@attribute 'Address B' numeric
@attribute 'Port B' numeric
@attribute 'Packets A - B' numeric
@attribute 'Bytes A - B' numeric
@attribute 'Packets B - A' numeric
@attribute 'Bytes B - A' numeric

@data
Malware,17,1534712364,6892,167772687,1044,0,0,1,67
Malware,17,1534712365,6892,167772687,1044,0,0,1,67
Malware,17,1534712366,6892,167772687,1044,0,0,1,67
Malware,17,1534712367,6892,167772687,1044,0,0,1,67
Malware,17,1534712368,6892,167772687,1044,0,0,1,67
Malware,17,1534712369,6892,167772687,1044,0,0,1,67
Malware,17,1534712370,6892,167772687,1044,0,0,1,67
Malware,17,1534712371,6892,167772687,1044,0,0,1,67
Malware,17,1534712372,6892,167772687,1044,0,0,1,67
Malware,17,1534712373,6892,167772687,1044,0,0,1,67
Malware,17,1534712374,6892,167772687,1044,0,0,1,67
Malware,17,1534712375,6892,167772687,1044,0,0,1,67
Malware,17,1534712376,6892,167772687,1044,0,0,1,67
Malware,17,1534712377,6892,167772687,1044,0,0,1,67
Malware,17,1534712378,6892,167772687,1044,0,0,1,67
Malware,17,1534712379,6892,167772687,1044,0,0,1,67
Malware,17,1534712380,6892,167772687,1044,0,0,1,67
Malware,17,1534712381,6892,167772687,1044,0,0,1,67
Malware,17,1534712382,6892,167772687,1044,0,0,1,67
Malware,17,1534712383,6892,167772687,1044,0,0,1,67
Malware,17,1534712384,6892,167772687,1044,0,0,1,67
Malware,17,1534712385,6892,167772687,1044,0,0,1,67
Malware,17,1534712386,6892,167772687,1044,0,0,1,67
Malware,17,1534712387,6892,167772687,1044,0,0,1,67
Malware,17,1534712388,6892,167772687,1044,0,0,1,67
Malware,17,1534712389,6892,167772687,1044,0,0,1,67
Malware,17,1534712390,6892,167772687,1044,0,0,1,67
Malware,17,1534712391,6892,167772687,1044,0,0,1,67
Malware,17,1534712392,6892,167772687,1044,0,0,1,67
Malware,17,1534712393,6892,167772687,1044,0,0,1,67
Malware,17,1534712394,6892,167772687,1044,0,0,1,67
Malware,17,1534712395,6892,167772687,1044,0,0,1,67
Malware,17,1534712396,6892,167772687,1044,0,0,1,67
Malware,17,1534712397,6892,167772687,1044,0,0,1,67
Malware,17,1534712398,6892,167772687,1044,0,0,1,67
Malware,17,1534712399,6892,167772687,1044,0,0,1,67
Malware,17,1534712400,6892,167772687,1044,0,0,1,67
Malware,17,1534712401,6892,167772687,1044,0,0,1,67
Malware,17,1534712402,6892,167772687,1044,0,0,1,67
Malware,17,1534712403,6892,167772687,1044,0,0,1,67
Malware,17,1534712404,6892,167772687,1044,0,0,1,67
Malware,17,1534712405,6892,167772687,1044,0,0,1,67
Malware,17,1534712406,6892,167772687,1044,0,0,1,67
Malware,17,1534712407,6892,167772687,1044,0,0,1,67
Malware,17,1534712408,6892,167772687,1044,0,0,1,67
Malware,17,1534712409,6892,167772687,1044,0,0,1,67
Malware,17,1534712410,6892,167772687,1044,0,0,1,67
Malware,17,1534712411,6892,167772687,1044,0,0,1,67
Malware,17,1534712412,6892,167772687,1044,0,0,1,67
Malware,17,1534712413,6892,167772687,1044,0,0,1,67
Malware,17,1534712414,6892,167772687,1044,0,0,1,67
Malware,17,1534712415,6892,167772687,1044,0,0,1,67
Malware,17,1534712416,6892,167772687,1044,0,0,1,67
Malware,17,1534712417,6892,167772687,1044,0,0,1,67
Malware,17,1534712418,6892,167772687,1044,0,0,1,67
Malware,17,1534712419,6892,167772687,1044,0,0,1,67
Malware,17,1534712420,6892,167772687,1044,0,0,1,67
Malware,17,1534712421,6892,167772687,1044,0,0,1,67
Malware,17,1534712422,6892,167772687,1044,0,0,1,67
Malware,17,1534712423,6892,167772687,1044,0,0,1,67
Malware,17,1534712424,6892,167772687,1044,0,0,1,67
Malware,17,1534712425,6892,167772687,1044,0,0,1,67
Malware,17,1534712426,6892,167772687,1044,0,0,1,67
Malware,17,1534712427,6892,167772687,1044,0,0,1,67
Malware,17,1534712428,6892,167772687,1044,0,0,1,67
Malware,17,1534712429,6892,167772687,1044,0,0,1,67
Malware,17,1534712430,6892,167772687,1044,0,0,1,67
Malware,17,1534712431,6892,167772687,1044,0,0,1,67
Malware,17,1534712432,6892,167772687,1044,0,0,1,67
Malware,17,1534712433,6892,167772687,1044,0,0,1,67
Malware,17,1534712434,6892,167772687,1044,0,0,1,67
Malware,17,1534712435,6892,167772687,1044,0,0,1,67
Malware,17,1534712436,6892,167772687,1044,0,0,1,67
Malware,17,1534712437,6892,167772687,1044,0,0,1,67
Malware,17,1534712438,6892,167772687,1044,0,0,1,67
